Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
4,2.0,2856.0,1270000,7007210,54,12,15,30,24,18,Titirangi,2.0,915.0,153
7,4.0,399.0,1450000,7009312,126,72,90,51,36,42,Flat Bush,5.0,956.0,414
4,2.0,115.0,1000000,7005056,57,36,30,18,15,24,Wesley,9.0,1128.0,183
3,3.0,635.0,710000,7009455,96,39,21,33,15,21,Manurewa,10.0,1218.0,225
4,2.0,600.0,1055000,7002590,66,33,39,27,42,51,Unsworth Heights,2.0,906.0,255
5,2.0,883.0,1560000,7006877,30,15,12,18,39,45,Eastern Beach,3.0,929.0,162
3,2.0,130.0,720000,7004733,21,39,39,21,21,12,Grey Lynn,5.0,959.0,156
5,5.0,659.0,1750000,7001456,66,21,21,33,18,18,Silverdale,3.0,921.0,174
5,4.0,557.0,1675000,7001929,27,12,21,21,12,21,Long Bay,2.0,909.0,117
5,4.0,608.0,2075000,7001929,27,12,21,21,12,21,Long Bay,2.0,909.0,117
4,1.0,862.0,1000000,7003355,30,24,15,24,21,24,Surfdale,4.0,939.0,144
3,1.0,1055.0,830000,7003355,30,24,15,24,21,24,Surfdale,4.0,939.0,144
